Unnamed: 0;Unnamed: 1;Unnamed: 2;gemini 2.0;gemini 2.5;gpt 4o;grok 3;Mistral large;Unnamed: 8;LLM;50PLUS;BBB;BVNL;CDA;CU;D66;FvD;GL-PvdA;JA21;MDD;NL PLAN EU;NSC;Piratenpartij - De Groenen;PvdD;PVV;SGP;SP;vandeRegio;Volt;VVD
Party/Results (%);Position;;Average;Average;Average;Average;Average;;gemini 2.0;63,6;28,2;24,5;65,4;41,9;74,7;15,2;70,5;18,8;48,3;75,2;48,5;70,3;69,7;28,9;45,5;49,6;76,4;74,7;64,8
50PLUS;Other;;63,6;70,4;49,4;67;67,8;;gemini 2.5;70,4;32,3;22;66,4;43;78,4;18,7;75;22,3;48,6;68,9;53,6;76,8;67,2;35,6;43,6;49,5;70;77,7;65,8
BBB;Other;;28,2;32,3;19,4;23;24,4;;gpt 4o;49,4;19,4;9,1;46,1;29,1;62,7;3,2;60,6;10;38,8;56,4;30,9;59,3;51,3;22,9;23,6;38,4;61,3;61,9;46,1
BVNL;Radical Right;;24,5;22;9,1;13;14,7;;grok 3;67;23;13;63;40;80;10;77;13;47;73;50;77;73;30;37;53;77;87;63
CDA;Christian Democratic;;65,4;66,4;46,1;63;64;;Mistral large;67,8;24,4;14,7;64;42,6;79,9;11,6;76,7;14,7;46,8;69,4;50,5;76,7;70,3;31,2;37,7;50,3;72,2;81,9;63,6
CU;Populist;;41,9;43;29,1;40;42,6;;;;;;;;;;;;;;;;;;;;;;
D66;Liberal;;74,7;78,4;62,7;80;79,9;;;;;;;;;;;;;;;;;;;;;;
FvD;Radical Right;;15,2;18,7;3,2;10;11,6;;;;;;;;;;;;;;;;;;;;;;
GL-PvdA;Green;;70,5;75;60,6;77;76,7;;;;;;;;;;;;;;;;;;;;;;
JA21;Radical Right;;18,8;22,3;10;13;14,7;;;;;;;;;;;;;;;;;;;;;;
MDD;Radical Right;;48,3;48,6;38,8;47;46,8;;;;;;;;;;;;;;;;;;;;;;
NL PLAN EU;Other;;75,2;68,9;56,4;73;69,4;;;;;;;;;;;;;;;;;;;;;;
NSC;Christian Democratic;;48,5;53,6;30,9;50;50,5;;;;;;;;;;;;;;;;;;;;;;
Piratenpartij - De Groenen;Green;;70,3;76,8;59,3;77;76,7;;;;;;;;;;;;;;;;;;;;;;
PvdD;Green;;69,7;67,2;51,3;73;70,3;;;;;;;;;;;;;;;;;;;;;;
PVV;Radical Right;;28,9;35,6;22,9;30;31,2;;;;;;;;;;;;;;;;;;;;;;
SGP;Other;;45,5;43,6;23,6;37;37,7;;;;;;;;;;;;;;;;;;;;;;
SP;Radical Left;;49,6;49,5;38,4;53;50,3;;;;;;;;;;;;;;;;;;;;;;
vandeRegio;Other;;76,4;70;61,3;77;72,2;;;;;;;;;;;;;;;;;;;;;;
Volt;Liberal;;74,7;77,7;61,9;87;81,9;;;;;;;;;;;;;;;;;;;;;;
VVD;Liberal;;64,8;65,8;46,1;63;63,6;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
