Unnamed: 0;Unnamed: 1;Unnamed: 2;gemini 2.0;Unnamed: 4;Unnamed: 5;gemini 2.5;Unnamed: 7;Unnamed: 8;gpt 4o;Unnamed: 10;Unnamed: 11;grok 3;Unnamed: 13;Unnamed: 14;Mistral large;Unnamed: 16;Unnamed: 17;Unnamed: 18;LLM;ALLIANCE GERMANY;AfD;Alliance C;Animal Protection Party;BP;BSW;BüSo;CDU/CSU;FDP;FREE VOTERS;GREENS;HUMAN WORLD;MERA25;MLPD;PDF;PIRATES;PdH;Rejuvenation research;SGP;SPD;The Justice Party - Team Todenhöfer;The Left;The party;Values ​​Union;theBasis;volt;weeks of pregnancy;ÖDP
Party/Results (%);Position;;Average;stdev;range;Average;stdev;range;Average;stdev;range;Average;stdev;range;Average;stdev;range;;Mistral large;40,78;37,63;39,99;72,89;33,15;62,65;46,05;48,69;45,26;46,07;69,2;50,52;67,89;69,22;57,1;63,96;56,05;57,37;63,69;68,94;66,83;67,12;74,21;38,67;55,25;69,46;70,03;67,11
AfD;Radical Right;;42,77;#NAME?;7,9;42,5;#NAME?;7,9;33,68;#NAME?;6,5;27,34;#NAME?;2,6;37,63;#NAME?;10,5;;gemini 2.0;43,56;42,77;44,08;65,39;34,07;63,81;37,77;53,28;46,74;57,23;58,81;45,13;57,76;59,06;59,61;54,6;50,92;54,33;53,83;60,4;58,29;56,44;66,96;39,36;52,21;62,5;61,17;66,72
Alliance C;Radical Right;;44,08;#NAME?;9,2;40,66;#NAME?;9,2;40,79;#NAME?;6,6;38,2;#NAME?;0;39,99;#NAME?;5,3;;gemini 2.5;45,13;42,5;40,66;65,67;35,39;57,49;37,49;50,91;57,5;50,41;68,03;50,66;61,97;61,96;60,92;59,08;62,5;57,77;56,72;68,29;61,71;60,65;65,41;47,37;51,18;65,02;64,61;62,24
ALLIANCE GERMANY;Radical Right;;43,56;#NAME?;7,9;45,13;#NAME?;4;40,26;#NAME?;6,6;31,34;#NAME?;2,6;40,78;#NAME?;9,3;;gpt 4o;40,26;33,68;40,79;77,62;36,83;65,8;42,63;49,74;47,12;51,85;71,85;51,83;69,21;69,72;66,9556;70,12;64,35;68,81;65,01;74,34;68,15;70,14;74,47;39,61;60,39;69,88;75,65;68,42
Animal Protection Party;Green;;65,39;#NAME?;6,6;65,67;#NAME?;5,2;77,62;#NAME?;6,6;78,68;#NAME?;2,7;72,89;#NAME?;18,4;;grok 3;31,34;27,34;38,2;78,68;34,46;62,88;50,26;43,66;41,84;50,26;70,02;49,74;74,74;76,04;64,76;72,66;61,8;51,3;70,78;70,02;74,74;76,56;81,34;36,58;57,9;74,74;76,56;76,04
BP;Regionalist;;34,07;#NAME?;5,2;35,39;#NAME?;14,5;36,83;#NAME?;5,3;34,46;#NAME?;2,6;33,15;#NAME?;10,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BSW;Radical Left;Far;63,81;#NAME?;7,9;57,49;#NAME?;10,6;65,80;#NAME?;5,2;62,88;#NAME?;2,7;62,65;#NAME?;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BüSo;Other;;37,77;#NAME?;2,7;37,49;#NAME?;11,8;42,63;#NAME?;6,6;50,26;#NAME?;2,6;46,05;#NAME?;13,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CDU/CSU;Christian Democratic;;53,28;#NAME?;4;50,91;#NAME?;6,5;49,74;#NAME?;5,2;43,66;#NAME?;2,6;48,69;#NAME?;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FDP;Liberal;;46,74;#NAME?;9,2;57,5;#NAME?;10,6;47,12;#NAME?;5,3;41,84;#NAME?;2,6;45,26;#NAME?;6,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
